Rank,Vendor,Product,ASIN,Price,Star Rating,Reviews,Date,Time,,Announced,Size,Resolution,OS,Chipset,Memory,Rear Camera,Front Camera,Weight,Battery,URL
1,Samsung,Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty,B06Y14T5YW,489.88,4.0,1372,2018-10-08,13:01,,"2017, March","5.8 inches, 84.8 cm2 (~83.6% screen-to-body ratio)","1440 x 2960 pixels, 18.5:9 ratio (~570 ppi density)","Android 7.0 (Nougat), upgradable to Android 8.0 (Oreo)",Qualcomm MSM8998 Snapdragon 835,"64 GB, 4 GB RAM","12 MP, f/1.7, 26mm, 1/2.5"", 1.4ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm, OIS, dual pixel PDAF","8 MP, f/1.7, 25mm, 1/3.6"", 1.22ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm, AF",155 g (5.47 oz),3000 mAh,https://www.gsmarena.com/samsung_galaxy_s8-8161.php#g950u
2,Huawei,Huawei Mate SE Factory Unlocked 5.93” - 4GB/64GB Octa-core Processor| 16MP + 2MP Dual Camera| GSM Only |Gold (US Warranty),B0791BJBX8,237.74,4.4,947,2018-10-08,13:01,,"2017, December","5.93 inches, 90.7 cm2 (~77.0% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~407 ppi density)","Android 7.0 (Nougat), upgradable to Android 8.0 (Oreo)",HiSilicon Kirin 659,"64 GB, 4 GB RAM (L21) or 32/64 GB, 4 GB RAM (L22) or 32/64 GB, 3/4 GB RAM (L24)","16 MP, f/2.2, 26mm, 1/2.9"", 1.25ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm, PDAF
2 MP, depth sensor","8 MP, f/2.0, 27mm",165 g (5.82 oz),3340 mAh,https://www.gsmarena.com/huawei_honor_7x-8880.php#l24
3,Samsung,"Samsung Galaxy J7 Neo (16GB) J701M/DS - 5.5"", Android 7.0, Dual SIM Unlocked Smartphone, International Model - Gold",B074D5YHPP,140.84,4.0,229,2018-10-08,13:01,,"2017, July","5.5 inches, 83.4 cm2 (~69.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","Android 7.0 (Nougat), planned upgrade to Android 8.0 (Oreo)",Exynos 7870 Octa,"16 GB, 2 GB RAM","13 MP, f/1.9, 28mm, AF","5 MP, f/2.2, 23mm",170 g (6.00 oz),3000 mAh,https://www.gsmarena.com/samsung_galaxy_j7_nxt-8785.php
4,Essential,"Essential Phone 128 GB Unlocked with Full Display, Dual Camera – Black Moon",B074BWGRKH,339.99,4.1,1647,2018-10-08,13:01,,"2017, May","5.71 inches, 85.4 cm2 (~84.9% screen-to-body ratio)",1312 x 2560 pixels (~504 ppi density),"Android 7.1 (Nougat), upgradable to Android 8.1 (Oreo)",Qualcomm MSM8998 Snapdragon 835,"128 GB, 4 GB RAM","13 MP, f/1.9, PDAF & laser AF","8 MP, f/2.2",185 g (6.53 oz),3040 mAh,https://www.gsmarena.com/_essential_ph_1-8710.php
5,Motorola,Moto G6 – 32 GB – Unlocked (AT&T/Sprint/T-Mobile/Verizon) – Black - Prime Exclusive Phone,B079Z3DX1W,239.99,3.9,308,2018-10-08,13:01,,"2018, April","5.7 inches, 83.8 cm2 (~75.4% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~424 ppi density)",Android 8.0 (Oreo),Qualcomm SDM450 Snapdragon 450,"64 GB, 4 GB RAM or 32 GB, 3 GB RAM","12 MP, f/1.8, 1.4ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm, PDAF
5 MP, f/2.2, depth sensor","8 MP or 16 MP, f/2.2",167 g (5.89 oz),3000 mAh,https://www.gsmarena.com/motorola_moto_g6-9000.php
6,Huawei,Huawei Mate SE Factory Unlocked 5.93” - 4GB/64GB Octa-core Processor| 16MP + 2MP Dual Camera| GSM Only |Grey (US Warranty),B0791VS3N9,249.0,4.4,947,2018-10-08,13:01,,"2017, December","5.93 inches, 90.7 cm2 (~77.0% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~407 ppi density)","Android 7.0 (Nougat), upgradable to Android 8.0 (Oreo)",HiSilicon Kirin 659,"64 GB, 4 GB RAM (L21) or 32/64 GB, 4 GB RAM (L22) or 32/64 GB, 3/4 GB RAM (L24)","16 MP, f/2.2, 26mm, 1/2.9"", 1.25ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm, PDAF
2 MP, depth sensor","8 MP, f/2.0, 27mm",165 g (5.82 oz),3340 mAh,https://www.gsmarena.com/huawei_honor_7x-8880.php#l24
7,BLU,"BLU Studio X8 HD - 5.0"" GSM Unlocked Smartphone -White",B01FS0AAZG,49.99,3.0,1426,2018-10-08,13:01,,"2016, May","5.0 inches, 68.9 cm2 (~64.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 5.1 (Lollipop),,"4 GB, 512 MB RAM",5 MP,5 MP,144 g (5.08 oz),2000 mAh,https://www.gsmarena.com/blu_studio_x8_hd-8119.php
8,Samsung,Samsung Galaxy S9 Unlocked Smartphone - Midnight Black - US Warranty,B079H6RLKQ,619.99,4.2,682,2018-10-08,13:01,,"2018, February","5.8 inches, 84.8 cm2 (~83.6% screen-to-body ratio)","1440 x 2960 pixels, 18.5:9 ratio (~570 ppi density)",Android 8.0 (Oreo),Qualcomm SDM845 Snapdragon 845,"64/128/256 GB, 4 GB RAM","12 MP, f/1.5-2.4, 26mm, 1/2.5"", 1.4ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm, OIS, dual pixel PDAF","8 MP, f/1.7, 25mm, 1/3.6"", 1.22ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm, AF",163 g (5.75 oz),3000 mAh,https://www.gsmarena.com/samsung_galaxy_s9-8966.php#g960u
9,Samsung,"Samsung Galaxy J2 Prime (16GB) 5.0"" 4G LTE GSM Dual SIM Factory Unlocked International Version, No Warranty G532M/DS (Black)",B079J5VWWK,100.0,3.8,90,2018-10-08,13:01,,"2016, November","5.0 inches, 68.9 cm2 (~66.0% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6737T,"8 GB, 1.5 GB RAM","8 MP, AF, f/2.2","5 MP, f/2.2",160 g (5.64 oz),2600 mAh,https://www.gsmarena.com/samsung_galaxy_j2_prime-8424.php#g532mds
10,Motorola,Moto G6 Play – 32 GB – Unlocked (at&T/Sprint/T-Mobile/Verizon) – Deep Indigo – Prime Exclusive Phone,B079YTK8XV,189.99,3.7,225,2018-10-08,13:01,,"2018, April","5.7 inches, 83.8 cm2 (~75.2% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",Android 8.0 (Oreo),Qualcomm MSM8920 Snapdragon 427,"32 GB, 3 RAM or 16 GB, 2 GB RAM","13 MP, f/2.0, 1.12ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm, PDAF","5 MP (USA)
8 MP (other markets)",175 g (6.17 oz),4000 mAh,https://www.gsmarena.com/motorola_moto_g6_play-9002.php#usa
11,Apple,Apple iPhone 6 a1549 16GB Space Gray Unlocked (Certified Refurbished),B00YD547Q6,169.4,3.2,1641,2018-10-08,13:01,,"2014, September","4.7 inches, 60.9 cm2 (~65.8% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","iOS 8, upgradable to iOS 11.4.1",Apple A8,"16/32/64/128 GB, 1 GB RAM DDR3","8 MP, f/2.2, 29mm, 1/3"", 1.5ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm, PDAF","1.2 MP, f/2.2, 31mm",129 g (4.55 oz),1810 mAh,https://www.gsmarena.com/apple_iphone_6-6378.php
12,Samsung,"Samsung Galaxy J7 Neo (16GB) J701M/DS - 5.5"", Android 7.0, Dual SIM Unlocked Smartphone, International Model - Black  ",B074FS49WS,140.0,4.0,229,2018-10-08,13:01,,"2017, July","5.5 inches, 83.4 cm2 (~69.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","Android 7.0 (Nougat), planned upgrade to Android 8.0 (Oreo)",Exynos 7870 Octa,"16 GB, 2 GB RAM","13 MP, f/1.9, 28mm, AF","5 MP, f/2.2, 23mm",170 g (6.00 oz),3000 mAh,https://www.gsmarena.com/samsung_galaxy_j7_nxt-8785.php
13,BLU,BLU R2 PLUS – 4G LTE 5.5” Full HD Unlocked Smartphone – 32GB + 3GB RAM -Black,B077NXNK2L,129.99,3.3,571,2018-10-08,13:01,,"2017, November","5.5 inches, 83.4 cm2 (~69.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Android 7.0 (Nougat),Mediatek MT6753,"32 GB, 3 GB RAM","13 MP, f/2.0, 1/3"", 1.12ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm, PDAF",13 MP,167 g (5.89 oz),3000 mAh,https://www.gsmarena.com/blu_r2_plus-8945.php
14,BLU,"BLU Advance 5.2 - Unlocked Smartphone - 5.2"" Display, 8GB +1GB RAM -Black",B076MM5LM7,59.99,2.8,851,2018-10-08,13:01,,,,,,,,,,,,
15,BLU,BLU Advance A4 -Unlocked Dual Sim Smartphone -Black,B072N6BD9V,39.99,2.8,851,2018-10-08,13:01,,,,,,,,,,,,
16,Motorola,"Motorola Moto G6 Factory Unlocked Phone - 5.7"" Screen - 32GB - Black (U.S. Warranty)",B079Z792J7,229.99,4.0,20,2018-10-08,13:01,,"2018, April","5.7 inches, 83.8 cm2 (~75.4% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~424 ppi density)","Android 8.0 (Oreo), planned upgrade to Android 9.0 (Pie)",Qualcomm SDM450 Snapdragon 450,"64 GB, 4 GB RAM or 32 GB, 3 GB RAM","12 MP, f/1.8, 1.4ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm, PDAF
5 MP, f/2.2, depth sensor","8 MP or 16 MP, f/2.2",167 g (5.89 oz),3000 mAh,https://www.gsmarena.com/motorola_moto_g6-9000.php
17,Huawei,Huawei P20 Lite ANE-LX3 32GB + 4GB Dual SIM LTE Factory Unlocked Smartphone (Klein Blue),B07C5HH17G,240.4,4.2,195,2018-10-08,13:01,,"2018, March","5.84 inches, 85.1 cm2 (~80.5% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~432 ppi density)",Android 8.0 (Oreo),HiSilicon Kirin 659,"32/64 GB, 4 GB RAM or 128 GB (China, Malaysia)","16 MP, f/2.2, 1.0ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm, PDAF
2 MP, depth sensor","16 MP, f/2.0, 28mm, 1.12ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm
24 MP, f/2.0 (AL00 for India; TL00 for China)",145 g (5.11 oz),3000 mAh,https://www.gsmarena.com/huawei_p20_lite-9098.php#p20-lite
18,Samsung,"Samsung Galaxy J7 Neo (16GB) J701M/DS - 5.5"", Android 7.0, Dual SIM Unlocked Smartphone, International Model (Silver)",B074FS1FW9,142.0,4.0,229,2018-10-08,13:01,,"2017, July","5.5 inches, 83.4 cm2 (~69.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","Android 7.0 (Nougat), planned upgrade to Android 8.0 (Oreo)",Exynos 7870 Octa,"16 GB, 2 GB RAM","13 MP, f/1.9, 28mm, AF","5 MP, f/2.2, 23mm",170 g (6.00 oz),3000 mAh,https://www.gsmarena.com/samsung_galaxy_j7_nxt-8785.php
19,Honor,"Honor 7X GSM Unlocked Smartphone 5.93” FullView Display, 16MP + 2MP Dual-Lens Camera, Dual SIM, Expandable Storage, Black (US Warranty)",B078NCL7GK,199.99,4.2,1020,2018-10-08,13:01,,"2017, December","5.93 inches, 90.7 cm2 (~77.0% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~407 ppi density)","Android 7.0 (Nougat), upgradable to Android 8.0 (Oreo)",HiSilicon Kirin 659,"64 GB, 4 GB RAM (L21) or 32/64 GB, 4 GB RAM (L22) or 32/64 GB, 3/4 GB RAM (L24)","16 MP, f/2.2, 26mm, 1/2.9"", 1.25ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm, PDAF
2 MP, depth sensor","8 MP, f/2.0, 27mm",165 g (5.82 oz),3340 mAh,https://www.gsmarena.com/huawei_honor_7x-8880.php#l24
20,Nokia,"Nokia 6.1 (2018) - Android One (Oreo) - 32 GB - Dual SIM Unlocked Smartphone (AT&T/T-Mobile/MetroPCS/Cricket/H2O) - 5.5"" Screen - Black - U.S. Warranty",B07B4KPFKM,229.99,3.4,266,2018-10-08,13:01,,"2018, January","5.5 inches, 82.6 cm2 (~73.2% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~403 ppi density)",Android 8.1 (Oreo),Qualcomm SDM630 Snapdragon 630,"32/64 GB, 3/4 GB RAM","16 MP, f/2.0, 27mm, 1.0ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm, PDAF","8 MP, f/2.0, 1.12ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm",172 g (6.07 oz),3000 mAh,https://www.gsmarena.com/nokia_6_1-8972.php
21,Apple,"Apple iPhone 6 GSM Unlocked, 64 GB - Space Gray (Certified Refurbished) ",B014Z8HDWU,199.99,3.0,338,2018-10-08,13:01,,"2014, September","4.7 inches, 60.9 cm2 (~65.8% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","iOS 8, upgradable to iOS 11.4.1",Apple A8,"16/32/64/128 GB, 1 GB RAM DDR3","8 MP, f/2.2, 29mm, 1/3"", 1.5ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm, PDAF","1.2 MP, f/2.2, 31mm",129 g (4.55 oz),1810 mAh,https://www.gsmarena.com/apple_iphone_6-6378.php
22,Xiaomi,"Xiaomi Redmi Note 5 64GB Black, Dual Sim, 4GB RAM, 5.99"", GSM Unlocked Global Version, No Warranty (Black)",B07D82MTZL,205.83,4.7,53,2018-10-08,13:01,,"2018, February","5.99 inches, 92.6 cm2 (~77.4% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~403 ppi density)","Android 7.1.2 (Nougat), upgradable to Android 8.1 (Oreo)",Qualcomm MSM8953 Snapdragon 625,"64 GB, 4 GB RAM or 32 GB, 3 GB RAM","12 MP, f/2.2, 1.25 ÃƒÆ’Ã…Â½Ãƒâ€šÃ‚Â¼m, dual pixel PDAF",5 MP,180 g (6.35 oz),4000 mAh,https://www.gsmarena.com/xiaomi_redmi_note_5_(redmi_5_plus)-8959.php#redmi-note-5
23,Samsung,Samsung Galaxy S6 SM-G920V 32GB Sapphire Black Smartphone for Verizon (Certified Refurbished),B01D0JV7AO,157.89,3.5,353,2018-10-08,13:01,,,,,,,,,,,,
24,Apple,"Apple iPhone 6, Fully Unlocked, 64GB - Space Gray (Certified Refurbished)",B00YD54AYU,199.99,3.3,668,2018-10-08,13:01,,"2014, September","4.7 inches, 60.9 cm2 (~65.8% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","iOS 8, upgradable to iOS 12",Apple A8,"16/32/64/128 GB, 1 GB RAM DDR3","8 MP, f/2.2, 29mm (standard), 1/3"", 1.5µm, PDAF","1.2 MP, f/2.2, 31mm (standard)",129 g (4.55 oz),1810 mAh,https://www.gsmarena.com/apple_iphone_6-6378.php
25,LG,LG B470 Flip Phone Unlocked GSM 3G AT&T Unlocked (NOT CDMA Carriers like Verizon Sprint Boost Mobile Virgin),B01N3PIIZW,45.98,3.0,137,2018-10-08,13:01,,,,,,,,,,,,
26,Motorola,Moto G6 – 64 GB – Unlocked (AT&T/Sprint/T-Mobile/Verizon) – Deep Indigo – Prime Exclusive Phone,B07C38BKCD,299.99,4.0,135,2018-10-08,13:01,,"2018, April","5.7 inches, 83.8 cm2 (~75.4% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~424 ppi density)",Android 8.0 (Oreo),Qualcomm SDM450 Snapdragon 450,"64 GB, 4 GB RAM or 32 GB, 3 GB RAM","12 MP, f/1.8, 1.4ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm, PDAF
5 MP, f/2.2, depth sensor","8 MP or 16 MP, f/2.2",167 g (5.89 oz),3000 mAh,https://www.gsmarena.com/motorola_moto_g6-9000.php
27,Samsung,"Samsung Galaxy J7 Prime (32GB) G610F/DS - 5.5"" Dual SIM Unlocked Phone with Finger Print Sensor (Gold)",B01MUSD2ST,204.0,3.6,1141,2018-10-08,13:01,,"2016, August","5.5 inches, 83.4 cm2 (~73.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat)",Exynos 7870 Octa,"16/32 GB, 3 GB RAM","13 MP, f/1.9, 28mm, AF","8 MP, f/1.9",167 g (5.89 oz),3300 mAh,https://www.gsmarena.com/samsung_galaxy_j7_prime-8314.php#g610f
28,Apple,"Apple iPhone 6S 64GB GSM Unlocked, Rose Gold (Certified Refurbished)",B01CR1FQMG,279.99,3.8,2512,2018-10-08,13:01,,"2015, September","4.7 inches, 60.9 cm2 (~65.6% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","iOS 9, upgradable to iOS 11.4.1",Apple A9,"16/32/64/128 GB, 2 GB RAM","12 MP, f/2.2, 29mm, 1/3"", 1.22ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm, PDAF","5 MP, f/2.2, 31mm",143 g (5.04 oz),1715 mAh,https://www.gsmarena.com/apple_iphone_6s-7242.php
29,Apple,"Apple iPhone 6, Fully Unlocked, 16GB - Space Gray (Certified Refurbished)",B06XRGN22N,169.99,3.3,183,2018-10-08,13:01,,"2014, September","4.7 inches, 60.9 cm2 (~65.8% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","iOS 8, upgradable to iOS 11.4.1",Apple A8,"16/32/64/128 GB, 1 GB RAM DDR3","8 MP, f/2.2, 29mm, 1/3"", 1.5ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm, PDAF","1.2 MP, f/2.2, 31mm",129 g (4.55 oz),1810 mAh,https://www.gsmarena.com/apple_iphone_6-6378.php
30,Samsung,"Samsung Galaxy J2 Prime (16GB) 5.0"" 4G LTE GSM Dual SIM Factory Unlocked International Version, No Warranty G532M/DS Pink gold",B07C2CVRN2,100.0,3.8,90,2018-10-08,13:01,,"2016, November","5.0 inches, 68.9 cm2 (~66.0% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6737T,"8 GB, 1.5 GB RAM","8 MP, AF, f/2.2","5 MP, f/2.2",160 g (5.64 oz),2600 mAh,https://www.gsmarena.com/samsung_galaxy_j2_prime-8424.php
31,NUU,"NUU Mobile G3 5.7"" 64GB Unlocked Android Cell Phone - 4GB Ram Dual-SIM GSM 4G LTE - Dual Camera 13 MP Fingerprint ID Fast Charge",B079MBRDNN,199.99,3.3,263,2018-10-08,13:01,,,,,,,,,,,,
32,Samsung,"Samsung Galaxy J3 J327 (2017) 16GB Unlocked GSM 5"" HD Display Galaxy Express Prime 2 Smartphone - Dark Gray",B078KN66TJ,119.63,3.6,82,2018-10-08,13:01,,"2017, June","5.0 inches, 68.9 cm2 (~68.5% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 7.0 (Nougat),Exynos 7570 Quad,"16 GB, 2 GB RAM","13 MP, AF, f/1.9","5 MP, f/2.2",142 g (5.01 oz),2400 mAh,https://www.gsmarena.com/samsung_galaxy_j3_(2017)-8438.php
